GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,SetupCommunicationParameter,0,23,0,0,0,9,0,5,0,5
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,CpuServicesParameter,5,0,0,0,2,0,2,0,2,0
PLC4J: Protocol: S7,org.apache.plc4x.java.isoontcp.netty.model,IsoOnTcpMessage,0,4,0,0,0,2,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.payloads,VarPayload,22,0,0,0,8,0,4,0,4,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,DataTransportErrorCode,116,0,4,0,18,0,6,0,4,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,ParameterType,5,188,1,3,1,24,1,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,VariableAddressingMode,169,0,2,0,21,0,5,0,4,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,MemoryArea,213,0,2,0,25,0,5,0,4,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,HeaderErrorClass,125,0,2,0,17,0,5,0,4,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,ParameterError,290,0,2,0,32,0,5,0,4,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,TransportSize,258,0,2,0,29,0,6,0,5,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,SpecificationType,59,0,2,0,11,0,5,0,4,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,DataTransportSize,157,0,9,0,27,0,13,0,6,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,MessageType,0,92,0,2,0,14,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,DataTransportSize.new Object() {...},124,0,0,0,1,0,1,0,1,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.connection,S7PlcConnection,254,92,17,3,52,27,22,4,11,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.connection,S7PlcConnection.1.new ChannelInboundHandlerAdapter() {...},0,21,0,2,0,5,0,3,0,2
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.connection,S7PlcConnection.new ChannelInitializer() {...},0,93,0,0,0,8,0,2,0,2
PLC4J: Protocol: S7,org.apache.plc4x.java.s7,S7PlcDriver,72,0,4,0,16,0,8,0,6,0
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.params,DisconnectAdditionalInformationParameter,11,0,0,0,5,0,3,0,3,0
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.params,ChecksumParameter,11,0,0,0,5,0,3,0,3,0
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.params,TpduSizeParameter,0,11,0,0,0,5,0,3,0,3
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.params,TsapParameter,0,9,0,0,0,4,0,2,0,2
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.params,CalledTsapParameter,0,6,0,0,0,3,0,2,0,2
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.params,CallingTsapParameter,0,6,0,0,0,3,0,2,0,2
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.events,S7ConnectedEvent,0,3,0,0,0,1,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.tpdus,CustomTpdu,8,0,0,0,2,0,1,0,1,0
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.tpdus,ConnectionTpdu,0,24,0,0,0,8,0,4,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.tpdus,DisconnectRequestTpdu,0,14,0,0,0,4,0,2,0,2
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.tpdus,DisconnectTpdu,0,18,0,0,0,6,0,3,0,3
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.tpdus,ErrorTpdu,18,0,0,0,6,0,3,0,3,0
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.tpdus,ConnectionRequestTpdu,0,9,0,0,0,2,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.tpdus,Tpdu,2,48,2,4,1,13,2,6,0,5
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.tpdus,DataTpdu,0,27,0,0,0,8,0,4,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.tpdus,ConnectionConfirmTpdu,0,9,0,0,0,2,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.tpdus,DisconnectConfirmTpdu,8,0,0,0,2,0,1,0,1,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty,Plc4XS7Protocol.new Object() {...},26,0,0,0,1,0,1,0,1,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty,S7Protocol.new MessageToMessageDecoder() {...},0,17,0,0,0,4,0,3,0,3
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty,S7Protocol.new Object() {...},4,29,0,0,0,1,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty,S7Protocol,521,552,64,37,129,141,51,22,5,16
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty,Plc4XS7Protocol,758,27,101,1,182,7,66,3,14,3
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.events,IsoTPConnectedEvent,0,3,0,0,0,1,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty,IsoTPProtocol.new Object() {...},11,75,0,0,0,2,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty,IsoTPProtocol,246,531,49,43,70,132,45,32,3,18
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.payloads.items,VarPayloadItem,21,0,0,0,8,0,4,0,4,0
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model,IsoTPMessage,3,7,0,0,1,3,1,1,1,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.utils,S7TsapIdEncoder,23,20,0,0,5,3,4,1,4,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.messages,SetupCommunicationRequestMessage,0,14,0,0,0,3,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.messages,S7RequestMessage,7,11,0,0,3,3,2,1,2,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.messages,S7Message,31,58,8,4,7,17,6,8,1,7
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.messages,S7ResponseMessage,6,13,0,0,2,4,2,1,2,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params.items,S7AnyVarParameterItem,47,0,0,0,17,0,9,0,9,0
PLC4J: Protocol: S7,org.apache.plc4x.java.isoontcp.netty,IsoOnTcpProtocol,34,83,6,4,7,22,5,4,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.model,S7BitAddress,11,0,0,0,4,0,2,0,2,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.model,S7Address,15,0,0,0,6,0,3,0,3,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.model,S7DataBlockAddress,11,0,0,0,4,0,2,0,2,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.strategies,DefaultS7MessageProcessor.S7CompositeRequestMessage,56,0,4,0,17,0,9,0,7,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.strategies,DefaultS7MessageProcessor,593,19,59,1,149,6,33,2,3,2
